city,lat,lng,country,capital,population
Lisbon,38.7452,-9.1604,Portugal,primary,506654.0
Sintra,38.7974,-9.3904,Portugal,minor,377835.0
Vila Nova de Gaia,41.1333,-8.6167,Portugal,minor,302295.0
Porto,41.1495,-8.6108,Portugal,admin,237591.0
Braga,41.5333,-8.4167,Portugal,admin,181494.0
Matosinhos,41.2077,-8.6674,Portugal,minor,175478.0
Amadora,38.75,-9.2333,Portugal,minor,175136.0
Almada,38.6803,-9.1583,Portugal,minor,174030.0
Oeiras,38.697,-9.3017,Portugal,minor,172120.0
Gondomar,41.15,-8.5333,Portugal,minor,168027.0
Guimarães,41.445,-8.2908,Portugal,minor,158124.0
Odivelas,38.8,-9.1833,Portugal,minor,144549.0
Coimbra,40.2111,-8.4291,Portugal,admin,143396.0
Vila Franca de Xira,38.95,-8.9833,Portugal,minor,136886.0
Maia,41.2333,-8.6167,Portugal,minor,135306.0
Setúbal,38.5243,-8.8926,Portugal,admin,121185.0
Funchal,32.65,-16.9167,Portugal,admin,111892.0
Viseu,40.6667,-7.9167,Portugal,admin,99274.0
Valongo,41.1833,-8.5,Portugal,minor,93858.0
Viana do Castelo,41.7,-8.8333,Portugal,admin,88725.0
Paredes,41.2,-8.3333,Portugal,minor,86854.0
Vila do Conde,41.35,-8.75,Portugal,minor,79533.0
Torres Vedras,39.0833,-9.2667,Portugal,minor,79465.0
Aveiro,40.6389,-8.6553,Portugal,admin,78450.0
Queluz,38.7566,-9.2545,Portugal,,78273.0
Mafra,38.9333,-9.3333,Portugal,minor,76685.0
Penafiel,41.2,-8.2833,Portugal,minor,72265.0
Loulé,37.144,-8.0235,Portugal,minor,70622.0
Ponta Delgada,37.74,-25.67,Portugal,admin,68809.0
Moita,38.65,-8.9833,Portugal,minor,66029.0
Faro,37.0161,-7.935,Portugal,admin,64560.0
Póvoa de Varzim,41.3916,-8.7571,Portugal,minor,63408.0
Palmela,38.5667,-8.9,Portugal,minor,62831.0
Santarém,39.2369,-8.685,Portugal,admin,62200.0
Figueira da Foz,40.1508,-8.8618,Portugal,minor,62125.0
Felgueiras,41.3667,-8.2,Portugal,minor,58065.0
Paços de Ferreira,41.2833,-8.3833,Portugal,minor,56340.0
Castelo Branco,39.823,-7.4931,Portugal,admin,56109.0
Évora,38.5667,-7.9,Portugal,admin,55620.0
Portimão,37.1333,-8.5333,Portugal,minor,55614.0
Pombal,39.9162,-8.6279,Portugal,minor,55217.0
Marco de Canavezes,41.1833,-8.15,Portugal,minor,53450.0
Vila Real,41.3002,-7.7398,Portugal,admin,51850.0
Covilhã,40.2833,-7.5,Portugal,minor,51797.0
Caldas da Rainha,39.4069,-9.1363,Portugal,minor,51729.0
Montijo,38.7049,-8.9757,Portugal,minor,51222.0
Rio Tinto,41.1833,-8.5667,Portugal,,50713.0
Fafe,41.45,-8.1667,Portugal,minor,50633.0
Sesimbra,38.4437,-9.0996,Portugal,minor,49500.0
Amora,38.6265,-9.1189,Portugal,,48629.0
Vila Verde,41.65,-8.4333,Portugal,minor,47888.0
Lousada,41.2833,-8.2833,Portugal,minor,47387.0
Corroios,38.65,-9.15,Portugal,,46475.0
Ourém,39.65,-8.5833,Portugal,minor,45932.0
Olhão,37.0278,-7.8389,Portugal,minor,45396.0
Leiria,39.7444,-8.8072,Portugal,admin,45112.0
Ponte de Lima,41.7667,-8.5833,Portugal,minor,43498.0
Santa Cruz,32.675,-16.8309,Portugal,,43005.0
Guarda,40.5364,-7.2683,Portugal,admin,42541.0
Chaves,41.7399,-7.4707,Portugal,minor,41243.0
Tomar,39.6,-8.4167,Portugal,minor,40677.0
Ílhavo,40.6,-8.6667,Portugal,minor,40349.0
Trofa,41.3374,-8.5596,Portugal,minor,38999.0
Mafamude,41.1152,-8.6036,Portugal,,38940.0
