city,lat,lng,country,capital,population,log_airport,lat_airport,source_airport
Lisbon,38.7452,-9.1604,Portugal,primary,506654.0,-9.1354,38.7756,Humberto Delgado Airport
Sintra,38.7974,-9.3904,Portugal,minor,377835.0,-9.1354,38.7756,Humberto Delgado Airport
Vila Nova de Gaia,41.1333,-8.6167,Portugal,minor,302295.0,-9.1354,38.7756,Humberto Delgado Airport
Porto,41.1495,-8.6108,Portugal,admin,237591.0,-9.1354,38.7756,Humberto Delgado Airport
Braga,41.5333,-8.4167,Portugal,admin,181494.0,-9.1354,38.7756,Humberto Delgado Airport
Matosinhos,41.2077,-8.6674,Portugal,minor,175478.0,-9.1354,38.7756,Humberto Delgado Airport
Amadora,38.75,-9.2333,Portugal,minor,175136.0,-9.1354,38.7756,Humberto Delgado Airport
Almada,38.6803,-9.1583,Portugal,minor,174030.0,-9.1354,38.7756,Humberto Delgado Airport
Oeiras,38.697,-9.3017,Portugal,minor,172120.0,-9.1354,38.7756,Humberto Delgado Airport
Gondomar,41.15,-8.5333,Portugal,minor,168027.0,-9.1354,38.7756,Humberto Delgado Airport
Guimarães,41.445,-8.2908,Portugal,minor,158124.0,-9.1354,38.7756,Humberto Delgado Airport
Odivelas,38.8,-9.1833,Portugal,minor,144549.0,-9.1354,38.7756,Humberto Delgado Airport
Coimbra,40.2111,-8.4291,Portugal,admin,143396.0,-9.1354,38.7756,Humberto Delgado Airport
Vila Franca de Xira,38.95,-8.9833,Portugal,minor,136886.0,-9.1354,38.7756,Humberto Delgado Airport
Maia,41.2333,-8.6167,Portugal,minor,135306.0,-9.1354,38.7756,Humberto Delgado Airport
Setúbal,38.5243,-8.8926,Portugal,admin,121185.0,-9.1354,38.7756,Humberto Delgado Airport
Funchal,32.65,-16.9167,Portugal,admin,111892.0,-9.1354,38.7756,Humberto Delgado Airport
Viseu,40.6667,-7.9167,Portugal,admin,99274.0,-9.1354,38.7756,Humberto Delgado Airport
Valongo,41.1833,-8.5,Portugal,minor,93858.0,-9.1354,38.7756,Humberto Delgado Airport
Viana do Castelo,41.7,-8.8333,Portugal,admin,88725.0,-9.1354,38.7756,Humberto Delgado Airport
Paredes,41.2,-8.3333,Portugal,minor,86854.0,-9.1354,38.7756,Humberto Delgado Airport
Vila do Conde,41.35,-8.75,Portugal,minor,79533.0,-9.1354,38.7756,Humberto Delgado Airport
Torres Vedras,39.0833,-9.2667,Portugal,minor,79465.0,-9.1354,38.7756,Humberto Delgado Airport
Aveiro,40.6389,-8.6553,Portugal,admin,78450.0,-9.1354,38.7756,Humberto Delgado Airport
Queluz,38.7566,-9.2545,Portugal,,78273.0,-9.1354,38.7756,Humberto Delgado Airport
Mafra,38.9333,-9.3333,Portugal,minor,76685.0,-9.1354,38.7756,Humberto Delgado Airport
Penafiel,41.2,-8.2833,Portugal,minor,72265.0,-9.1354,38.7756,Humberto Delgado Airport
Loulé,37.144,-8.0235,Portugal,minor,70622.0,-9.1354,38.7756,Humberto Delgado Airport
Ponta Delgada,37.74,-25.67,Portugal,admin,68809.0,-9.1354,38.7756,Humberto Delgado Airport
Moita,38.65,-8.9833,Portugal,minor,66029.0,-9.1354,38.7756,Humberto Delgado Airport
Faro,37.0161,-7.935,Portugal,admin,64560.0,-9.1354,38.7756,Humberto Delgado Airport
Póvoa de Varzim,41.3916,-8.7571,Portugal,minor,63408.0,-9.1354,38.7756,Humberto Delgado Airport
Palmela,38.5667,-8.9,Portugal,minor,62831.0,-9.1354,38.7756,Humberto Delgado Airport
Santarém,39.2369,-8.685,Portugal,admin,62200.0,-9.1354,38.7756,Humberto Delgado Airport
Figueira da Foz,40.1508,-8.8618,Portugal,minor,62125.0,-9.1354,38.7756,Humberto Delgado Airport
Felgueiras,41.3667,-8.2,Portugal,minor,58065.0,-9.1354,38.7756,Humberto Delgado Airport
Paços de Ferreira,41.2833,-8.3833,Portugal,minor,56340.0,-9.1354,38.7756,Humberto Delgado Airport
Castelo Branco,39.823,-7.4931,Portugal,admin,56109.0,-9.1354,38.7756,Humberto Delgado Airport
Évora,38.5667,-7.9,Portugal,admin,55620.0,-9.1354,38.7756,Humberto Delgado Airport
Portimão,37.1333,-8.5333,Portugal,minor,55614.0,-9.1354,38.7756,Humberto Delgado Airport
Pombal,39.9162,-8.6279,Portugal,minor,55217.0,-9.1354,38.7756,Humberto Delgado Airport
Marco de Canavezes,41.1833,-8.15,Portugal,minor,53450.0,-9.1354,38.7756,Humberto Delgado Airport
Vila Real,41.3002,-7.7398,Portugal,admin,51850.0,-9.1354,38.7756,Humberto Delgado Airport
Covilhã,40.2833,-7.5,Portugal,minor,51797.0,-9.1354,38.7756,Humberto Delgado Airport
Caldas da Rainha,39.4069,-9.1363,Portugal,minor,51729.0,-9.1354,38.7756,Humberto Delgado Airport
Montijo,38.7049,-8.9757,Portugal,minor,51222.0,-9.1354,38.7756,Humberto Delgado Airport
Rio Tinto,41.1833,-8.5667,Portugal,,50713.0,-9.1354,38.7756,Humberto Delgado Airport
Fafe,41.45,-8.1667,Portugal,minor,50633.0,-9.1354,38.7756,Humberto Delgado Airport
Sesimbra,38.4437,-9.0996,Portugal,minor,49500.0,-9.1354,38.7756,Humberto Delgado Airport
Amora,38.6265,-9.1189,Portugal,,48629.0,-9.1354,38.7756,Humberto Delgado Airport
Vila Verde,41.65,-8.4333,Portugal,minor,47888.0,-9.1354,38.7756,Humberto Delgado Airport
Lousada,41.2833,-8.2833,Portugal,minor,47387.0,-9.1354,38.7756,Humberto Delgado Airport
Corroios,38.65,-9.15,Portugal,,46475.0,-9.1354,38.7756,Humberto Delgado Airport
Ourém,39.65,-8.5833,Portugal,minor,45932.0,-9.1354,38.7756,Humberto Delgado Airport
Olhão,37.0278,-7.8389,Portugal,minor,45396.0,-9.1354,38.7756,Humberto Delgado Airport
Leiria,39.7444,-8.8072,Portugal,admin,45112.0,-9.1354,38.7756,Humberto Delgado Airport
Ponte de Lima,41.7667,-8.5833,Portugal,minor,43498.0,-9.1354,38.7756,Humberto Delgado Airport
Santa Cruz,32.675,-16.8309,Portugal,,43005.0,-9.1354,38.7756,Humberto Delgado Airport
Guarda,40.5364,-7.2683,Portugal,admin,42541.0,-9.1354,38.7756,Humberto Delgado Airport
Chaves,41.7399,-7.4707,Portugal,minor,41243.0,-9.1354,38.7756,Humberto Delgado Airport
Tomar,39.6,-8.4167,Portugal,minor,40677.0,-9.1354,38.7756,Humberto Delgado Airport
Ílhavo,40.6,-8.6667,Portugal,minor,40349.0,-9.1354,38.7756,Humberto Delgado Airport
